[2024-07-19 16:14:31,005] 25 root - INFO -Entered the Data Ingestion part
[2024-07-19 16:14:36,461] 29 root - INFO -Read the dataset ad dataframe
[2024-07-19 16:14:36,606] 32 root - INFO -Train Test split started
[2024-07-19 16:14:36,756] 36 root - INFO -Ingestion Completed successfully
[2024-07-19 16:14:36,799] 34 root - INFO -Read train and test data completed
[2024-07-19 16:14:36,799] 36 root - INFO -Obtaining preprocessing object
[2024-07-19 16:14:36,799] 110 root - INFO -Scaling and transformation completed
[2024-07-19 16:14:36,801] 48 root - INFO -Applying preprocessing object on training dataframe and testing dataframe.
[2024-07-19 16:14:36,875] 60 root - INFO -Saved preprocessing object.
[2024-07-19 16:14:36,918] 34 root - INFO -Read train and test data completed
[2024-07-19 16:14:36,919] 36 root - INFO -Obtaining preprocessing object
[2024-07-19 16:14:36,919] 110 root - INFO -Scaling and transformation completed
[2024-07-19 16:14:36,921] 48 root - INFO -Applying preprocessing object on training dataframe and testing dataframe.
[2024-07-19 16:14:36,987] 60 root - INFO -Saved preprocessing object.
[2024-07-19 16:14:36,989] 52 root - INFO -Initiating HyperParameter Tuning
[2024-07-19 16:14:36,989] 24 root - INFO -Split training and testing data
