[2024-07-19 16:08:20,170] 25 root - INFO -Entered the Data Ingestion part
[2024-07-19 16:08:25,079] 29 root - INFO -Read the dataset ad dataframe
[2024-07-19 16:08:25,224] 32 root - INFO -Train Test split started
[2024-07-19 16:08:25,378] 36 root - INFO -Ingestion Completed successfully
[2024-07-19 16:08:25,422] 34 root - INFO -Read train and test data completed
[2024-07-19 16:08:25,422] 36 root - INFO -Obtaining preprocessing object
[2024-07-19 16:08:25,422] 110 root - INFO -Scaling and transformation completed
[2024-07-19 16:08:25,424] 48 root - INFO -Applying preprocessing object on training dataframe and testing dataframe.
[2024-07-19 16:08:25,499] 60 root - INFO -Saved preprocessing object.
[2024-07-19 16:08:25,545] 34 root - INFO -Read train and test data completed
[2024-07-19 16:08:25,545] 36 root - INFO -Obtaining preprocessing object
[2024-07-19 16:08:25,545] 110 root - INFO -Scaling and transformation completed
[2024-07-19 16:08:25,548] 48 root - INFO -Applying preprocessing object on training dataframe and testing dataframe.
[2024-07-19 16:08:25,618] 60 root - INFO -Saved preprocessing object.
